1 1 1
5 5 0 5
2 1 2
5 5 0 5
15 5 0 5
3 2 3
15 15 0 5
5 5 10 5
25 25 20 5
56 46 40
558 89 71 702
40 652 71 875
763 188 71 880
703 358 71 360
612 282 71 812
991 348 71 306
703 258 71 745
229 71 71 404
43 455 71 489
114 688 71 204
835 455 71 236
247 93 71 810
796 981 71 858
737 77 71 768
818 522 71 904
612 61 71 329
447 796 71 575
318 121 71 739
581 415 71 266
580 224 71 751
634 214 71 325
682 502 71 429
136 978 71 793
516 724 71 459
319 671 71 260
331 347 71 845
342 434 71 531
756 229 71 907
280 551 71 938
198 963 71 911
411 483 71 528
619 799 71 230
967 572 71 462
88 166 71 796
423 206 71 998
929 59 71 178
52 78 71 157
812 906 71 354
339 844 71 67
316 505 71 926
756 47 71 119
1 486 71 678
313 884 71 605
489 167 71 17
889 349 71 682
79 252 71 672
947 131 71 284
219 985 71 344
612 761 71 668
933 724 71 278
527 761 71 485
899 969 71 250
397 617 71 820
710 271 71 782
96 132 71 663
546 827 71 590
100 38 92
809 770 50 1
914 179 46 1
608 192 15 1
621 545 20 1
810 485 31 1
150 253 15 1
319 771 69 1
482 626 48 1
712 595 12 1
456 800 54 1
937 995 2 1
727 671 29 1
315 643 15 1
230 108 48 1
224 732 3 1
242 134 39 1
303 179 66 1
738 148 41 1
325 919 67 1
634 163 35 1
389 32 12 1
530 699 15 1
123 936 31 1
245 69 70 1
796 837 0 1
291 618 53 1
973 39 45 1
962 436 43 1
177 544 20 1
642 297 17 1
84 882 71 1
364 161 32 1
426 191 67 1
714 762 30 1
264 860 11 1
639 724 57 1
820 798 65 1
728 963 9 1
161 932 30 1
274 390 26 1
450 749 5 1
615 355 39 1
941 829 27 1
652 579 32 1
273 937 25 1
507 191 36 1
443 908 56 1
685 894 63 1
545 212 27 1
344 878 29 1
773 692 0 1
354 320 20 1
659 219 47 1
594 151 30 1
676 920 57 1
554 955 44 1
216 700 1 1
957 766 11 1
962 945 6 1
739 147 26 1
493 783 23 1
588 56 42 1
384 439 53 1
167 585 52 1
98 662 11 1
985 458 14 1
192 955 65 1
441 187 6 1
82 891 36 1
890 738 4 1
274 363 7 1
414 269 28 1
710 980 46 1
249 978 25 1
744 422 37 1
434 64 51 1
809 904 60 1
198 502 1 1
427 869 13 1
918 393 63 1
27 316 36 1
505 779 1 1
150 518 6 1
100 397 13 1
713 121 50 1
120 670 13 1
709 409 58 1
230 663 66 1
277 822 2 1
366 278 49 1
318 41 64 1
1 274 18 1
659 784 2 1
698 665 27 1
664 797 50 1
477 671 41 1
166 264 45 1
656 274 70 1
963 636 71 1
302 826 27 1
90 44 24
187 10 32 1000
36 866 25 1000
179 487 38 1000
675 53 65 1000
685 494 43 1000
68 557 1 1000
387 30 1 1000
911 647 2 1000
564 928 17 1000
178 156 40 1000
676 154 25 1000
509 45 24 1000
120 160 30 1000
74 776 34 1000
957 445 10 1000
466 967 23 1000
374 135 70 1000
776 758 51 1000
443 237 8 1000
552 799 28 1000
754 512 70 1000
834 976 8 1000
541 769 17 1000
488 339 19 1000
14 452 19 1000
194 335 54 1000
904 432 16 1000
486 174 24 1000
35 597 64 1000
62 558 1 1000
293 167 67 1000
779 955 65 1000
122 448 43 1000
356 998 45 1000
275 405 61 1000
504 15 34 1000
162 869 32 1000
492 656 55 1000
128 981 11 1000
735 628 63 1000
196 271 35 1000
50 328 20 1000
696 876 42 1000
464 880 37 1000
810 982 48 1000
9 85 40 1000
593 922 62 1000
359 741 32 1000
66 633 54 1000
586 955 39 1000
465 217 20 1000
755 41 44 1000
230 157 39 1000
164 109 55 1000
530 586 40 1000
29 209 39 1000
332 704 0 1000
526 394 34 1000
803 794 14 1000
381 781 13 1000
959 54 15 1000
672 363 55 1000
147 236 43 1000
968 287 58 1000
441 838 7 1000
451 195 50 1000
963 296 13 1000
676 534 19 1000
745 518 20 1000
185 653 38 1000
541 481 54 1000
88 766 44 1000
568 630 4 1000
440 457 33 1000
699 714 68 1000
241 270 50 1000
639 803 27 1000
914 90 71 1000
246 778 43 1000
791 491 17 1000
364 16 14 1000
568 708 28 1000
566 70 48 1000
658 122 22 1000
658 469 40 1000
140 475 30 1000
860 768 7 1000
330 943 69 1000
380 762 14 1000
107 625 23 1000
63 32 26
180 256 0 705
683 77 0 138
75 769 0 975
524 501 0 424
618 733 0 37
457 956 0 232
435 685 0 191
948 876 0 369
309 270 0 8
662 565 0 204
950 911 0 561
135 902 0 71
867 951 0 103
66 75 0 965
704 914 0 264
841 79 0 559
777 243 0 854
452 760 0 654
338 491 0 538
707 318 0 277
506 476 0 169
34 749 0 883
346 960 0 346
557 429 0 647
856 503 0 814
345 436 0 394
312 260 0 174
473 23 0 16
561 671 0 112
925 249 0 958
352 399 0 226
154 458 0 237
158 423 0 973
103 83 0 85
83 670 0 291
791 234 0 394
911 640 0 592
66 845 0 306
863 64 0 676
24 993 0 757
240 6 0 406
226 279 0 875
622 470 0 2
257 927 0 881
101 109 0 68
771 222 0 971
505 28 0 210
172 596 0 523
974 205 0 950
109 101 0 928
163 926 0 25
708 496 0 127
574 893 0 17
358 949 0 118
761 333 0 467
150 294 0 947
75 226 0 616
286 888 0 256
15 615 0 916
728 923 0 90
846 737 0 466
279 50 0 677
335 566 0 873
1 1 1
0 0 40 239
1 1 1
200 40 51 264
17 11 7
110 51 49 1
870 817 12 1
364 869 8 1
71 90 57 1
56 750 25 1
751 226 69 1
939 681 49 1
638 390 59 1
243 818 59 1
89 74 69 1
175 714 63 1
458 481 53 1
932 180 23 1
337 100 28 1
24 71 54 1
89 840 1 1
956 612 57 1
8 1 4
925 816 2 751
653 125 39 728
396 799 39 849
342 953 33 865
800 185 68 758
971 681 14 494
94 851 69 572
709 344 65 824
12 6 11
644 285 38 20
394 497 44 58
747 975 23 65
941 956 61 50
1 689 47 63
609 614 52 33
191 344 52 55
428 69 56 53
938 523 68 45
636 516 69 54
903 416 5 22
556 727 56 7
32 21 27
870 425 33 9
431 336 52 5
699 9 16 8
881 600 13 8
772 549 35 4
548 402 13 2
427 846 6 4
169 735 2 8
414 252 67 2
591 511 23 3
479 604 18 8
104 784 70 5
357 147 51 3
521 243 44 1
581 215 48 5
409 731 9 3
123 800 5 2
141 503 23 7
716 784 26 7
614 632 25 7
609 96 61 3
482 732 51 5
110 864 41 9
401 468 70 3
29 849 11 3
807 26 18 9
791 477 17 3
482 875 11 1
214 659 59 5
431 782 38 8
636 705 68 1
34 466 10 3
98 8 88
514 960 28 1
773 199 36 1
457 920 20 1
916 24 36 1
936 351 1 1
226 652 54 1
490 981 14 1
17 36 65 1
209 77 41 1
336 372 63 1
928 797 15 1
754 352 5 1
830 997 50 1
673 784 31 1
672 326 21 1
574 505 38 1
319 529 51 1
158 528 11 1
543 149 21 1
810 575 35 1
966 913 19 1
101 257 58 1
917 122 71 1
